rank,word,occurrence ppm,english
1,que,32894,that
2,de,32116,of
3,no,29897,No
4,a,22313,to
5,la,21127,the
6,el,18112,he
7,es,16620,is
8,y,15743,and
9,en,15303,in
10,lo,14010,it
11,un,13410,a
12,por,10261,by
13,qué,9903,that
14,me,9692,I
15,una,8656,a
16,te,8094,tea
17,los,7589,the
18,se,7426,HE
19,con,6799,with
20,para,6455,for
21,mi,5987,my
22,está,5909,this
23,si,5880,Yeah
24,bien,5293,good
25,pero,5012,but
26,yo,4800,I
27,eso,4788,that
28,las,4748,the
29,sí,4704,Yeah
30,su,4549,his
31,tu,4194,you
32,aquí,3952,here
33,del,3911,of the
34,al,3887,to the
35,como,3760,as
36,le,3470,you
37,más,3395,further
38,esto,3152,this
39,ya,2944,already
40,todo,2929,all
41,esta,2927,this
42,vamos,2830,come on
43,muy,2618,very
44,hay,2584,there is
45,ahora,2523,now
46,algo,2469,something
47,estoy,2454,I'm
48,tengo,2349,I have
49,nos,2247,us
50,tú,2232,you
51,nada,2122,nothing
52,cuando,2098,when
53,ha,2079,ha
54,este,2069,this
55,sé,2066,HE
56,estás,2045,are
57,así,2044,So
58,puedo,1972,I can
59,cómo,1969,as
60,quiero,1940,wanna
61,sólo,1933,only
62,soy,1913,am
63,tiene,1908,has
64,gracias,1886,thank you
65,o,1850,either
66,él,1836,he
67,bueno,1824,Well
68,fue,1811,was
69,ser,1782,be
70,hacer,1749,do
71,son,1703,are
72,todos,1687,all
73,era,1677,was
74,eres,1677,are
75,vez,1652,time
76,tienes,1636,have
77,creo,1584,believe
78,ella,1570,she
79,he,1570,He
80,ese,1508,that
81,voy,1478,go
82,puede,1433,can
83,sabes,1422,You know
84,hola,1393,hello
85,sus,1384,their
86,porque,1362,because
87,dios,1356,God
88,quién,1351,who
89,nunca,1342,never
90,dónde,1335,where
91,quieres,1331,want
92,casa,1330,home
93,favor,1313,favor
94,esa,1306,that
95,dos,1301,two
96,tan,1291,so
97,señor,1289,Sir
98,tiempo,1288,time
99,verdad,1269,TRUE
100,estaba,1250,was
101,mejor,1234,better
102,están,1232,are
103,va,1219,goes
104,hombre,1219,man
105,usted,1218,you
106,mucho,1208,a lot
107,hace,1195,does
108,entonces,1194,so
109,siento,1186,I feel
110,tenemos,1177,have
111,puedes,1134,can
112,ahí,1126,there
113,ti,1103,you
114,vida,1101,life
115,ver,1097,see
116,alguien,1046,someone
117,sr,1040,Mr
118,hasta,1032,until
119,sin,1029,without
120,mí,1022,my
121,solo,1013,only
122,años,1003,years
123,sobre,996,about
124,decir,995,say
125,uno,993,one
126,siempre,986,always
127,oh,985,Oh
128,ir,964,go
129,cosas,962,things
130,también,962,also
131,antes,955,before
132,has,942,you have
133,ni,941,neither
134,mis,937,my
135,día,917,day
136,estar,907,be
137,estamos,906,we are
138,noche,868,evening
139,nadie,865,nobody
140,otra,857,other
141,quiere,855,wants
142,parece,851,seems
143,nosotros,847,us
144,poco,844,bit
145,padre,833,father
146,trabajo,828,job
147,gente,827,people
148,mira,825,look
149,vas,817,you go
150,sea,814,be
151,les,806,them
152,donde,806,where
153,mismo,796,same
154,hecho,795,made
155,ellos,792,they
156,dijo,770,said
157,pasa,751,happens
158,dinero,740,money
159,hijo,728,son
160,tal,724,such
161,otro,710,other
162,hablar,706,talk
163,seguro,704,sure
164,claro,699,clear
165,estas,685,are
166,lugar,684,place
167,mundo,683,world
168,amigo,678,friend
169,espera,674,wait
170,mierda,673,shit
171,han,673,they have
172,tus,670,your
173,sabe,669,knows
174,después,661,after
175,momento,656,moment
176,desde,653,from
177,fuera,650,out
178,cosa,648,stuff
179,tipo,647,guy
180,mañana,646,tomorrow
181,podemos,623,can
182,dije,617,said
183,gran,608,great
184,necesito,607,need
185,estado,597,state
186,podría,591,could
187,acuerdo,591,agreement
188,papá,587,dad
